City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
394,Khandagayty,RU,50.7333,92.05,14.16,94,100,3.56,overcast clouds
395,Autun,FR,46.95,4.3,44.91,78,33,0.89,scattered clouds
396,Prince Rupert,CA,54.3161,-130.3201,46.09,84,92,21.85,overcast clouds
397,Torbay,CA,47.6666,-52.7314,37.58,88,75,11.5,shower rain
398,Oum Hadjer,TD,13.2954,19.6966,86.76,20,3,6.22,clear sky
399,Sioux Lookout,CA,50.1001,-91.917,21.83,75,96,3.91,overcast clouds
400,Emerald,AU,-23.5333,148.1667,69.35,76,99,10.04,overcast clouds
401,Lukovetskiy,RU,64.2956,41.9211,25.83,83,46,8.05,scattered clouds
402,Nurmijarvi,FI,60.4641,24.8073,39.54,91,0,3.44,clear sky
403,Noumea,NC,-22.2763,166.4572,75.99,99,86,8.79,overcast clouds
404,Tutoia,BR,-2.7619,-42.2744,84.38,67,22,12.46,few clouds
405,Dangriga,BZ,16.9692,-88.2321,82.33,67,25,7.58,light rain
406,Taguatinga,BR,-12.3857,-46.5711,90.61,40,58,2.39,broken clouds
407,Lompoc,US,34.6391,-120.4579,62.53,56,0,16.11,clear sky
408,Kilindoni,TZ,-7.9139,39.6668,78.57,77,3,16.13,clear sky
409,Miandrivazo,MG,-19.5167,45.4667,78.94,77,42,6.17,moderate rain
410,Kamina,CD,-8.7386,24.9906,65.28,95,92,3.65,overcast clouds
411,Lobito,AO,-12.3481,13.5456,74.7,71,19,9.33,few clouds
412,Emporia,US,38.4039,-96.1817,39.51,52,0,13.8,clear sky
413,Chongwe,ZM,-15.3292,28.682,72.14,66,64,2.42,broken clouds
414,Erenhot,CN,43.6475,111.9767,25.81,61,1,9.91,clear sky
415,Kashan,IR,33.9831,51.4364,57.52,49,0,2.86,clear sky
416,Bemidji,US,47.4736,-94.8803,26.06,75,100,0.0,overcast clouds
417,Hanna,CA,51.6334,-111.9018,19.2,97,100,5.77,overcast clouds
418,Alyangula,AU,-13.8483,136.4192,82.85,75,6,4.85,clear sky
419,Ketchikan,US,55.3422,-131.6461,42.58,97,100,6.4,overcast clouds
420,Hamilton,US,39.1834,-84.5333,38.1,73,100,9.22,overcast clouds
421,Port Augusta,AU,-32.5,137.7667,58.46,68,74,20.96,broken clouds
422,Pontianak,ID,-0.0333,109.3333,76.98,100,100,2.3,light rain
423,Aras,ES,42.5617,-2.356,55.83,76,0,0.0,clear sky
424,Anshun,CN,26.25,105.9333,56.86,90,71,4.74,broken clouds
425,Missoula,US,47.0166,-113.8009,12.6,90,99,2.39,overcast clouds
426,Bichura,RU,50.5881,107.6022,13.75,84,13,2.37,few clouds
427,Hutchinson,US,38.0608,-97.9298,42.75,50,0,20.71,clear sky
428,Severnoye,RU,56.3491,78.3619,32.63,98,100,11.39,light snow
429,Sosua,DO,19.7667,-70.5167,91.38,70,40,13.8,scattered clouds
430,Jonkoping,SE,57.7814,14.1562,55.38,100,100,2.3,fog
431,Reinsvoll,NO,60.6833,10.6167,36.25,95,19,0.96,few clouds
432,Caravelas,BR,-17.7125,-39.2481,83.48,61,64,11.03,broken clouds
433,Zemio,CF,5.0314,25.1361,74.26,58,12,3.04,few clouds
434,Lima,PE,-12.0432,-77.0282,67.89,75,100,5.75,overcast clouds
435,Kashira,RU,54.8444,38.1669,39.92,72,95,20.18,overcast clouds
436,Jayuya,PR,18.2186,-66.5916,81.25,89,70,1.01,broken clouds
437,Nkwerre,NG,5.7556,7.1063,78.87,75,50,4.79,scattered clouds
438,Edd,ER,13.9297,41.6925,83.53,63,0,18.48,clear sky
439,Aktash,RU,50.3,87.7333,9.84,83,100,5.57,overcast clouds
440,Pawa,PH,13.1747,123.7328,77.83,89,99,4.97,overcast clouds
441,At-Bashi,KG,41.1702,75.8106,18.19,72,74,3.51,broken clouds
442,Necochea,AR,-38.5473,-58.7368,69.85,70,63,11.43,light rain
443,Ishigaki,JP,24.3448,124.1572,76.75,81,100,20.6,overcast clouds
444,Lakes Entrance,AU,-37.8811,147.981,59.16,91,99,4.38,overcast clouds
445,Shetpe,KZ,44.1667,52.1167,46.85,78,100,24.87,overcast clouds
446,Yangambi,CD,0.8102,24.4336,72.0,84,61,1.68,broken clouds
447,Djambala,CG,-2.5447,14.7533,68.5,92,63,3.69,moderate rain
448,Vostok,RU,46.4856,135.8833,10.62,95,45,4.0,scattered clouds
449,Usinsk,RU,65.9939,57.5281,9.77,95,100,9.71,light snow
450,Novo Aripuana,BR,-5.1206,-60.3797,101.84,28,42,2.73,scattered clouds
451,Itaqui,BR,-29.1253,-56.5531,73.17,78,94,3.89,light rain
452,Jalu,LY,29.0331,21.5482,67.48,39,52,7.4,broken clouds
453,Bilma,NE,18.6853,12.9164,73.53,20,2,8.79,clear sky
454,Zyryanka,RU,65.75,150.85,-27.63,97,23,6.67,few clouds
455,Mucuri,BR,-18.0864,-39.5508,82.38,68,79,17.69,broken clouds
456,San Jose,US,37.3394,-121.895,58.75,59,20,13.42,few clouds
457,Bilibino,RU,68.0546,166.4372,-18.17,100,91,3.83,overcast clouds
458,Cairns,AU,-16.9167,145.7667,73.35,90,33,10.36,scattered clouds
459,Kutum,SD,14.2,24.6667,70.86,22,3,13.4,clear sky
460,Zeya,RU,53.75,127.2667,13.24,96,96,3.11,overcast clouds
461,Cururupu,BR,-1.8283,-44.8683,87.44,57,29,7.96,scattered clouds
462,Sabla,NG,12.7525,4.7077,83.97,19,2,9.98,clear sky
463,Noyabrsk,RU,63.1994,75.4507,-4.5,91,61,12.24,broken clouds
464,Sao Jose Do Belmonte,BR,-7.8614,-38.7597,92.93,29,32,6.53,scattered clouds
465,Kailua,US,21.4022,-157.7394,77.14,82,15,5.99,few clouds
466,Kulhudhuffushi,MV,6.6221,73.07,81.79,72,63,9.84,broken clouds
467,Nicoya,CR,10.1483,-85.452,83.52,73,38,3.47,scattered clouds
468,Kaili,ID,-3.4626,120.2147,67.75,95,100,3.09,overcast clouds
469,Araceli,PH,10.5529,119.9913,83.35,81,100,18.79,overcast clouds
470,Kupang,ID,-10.1667,123.5833,79.56,88,99,6.67,overcast clouds
471,Espanola,US,35.9911,-106.0806,53.24,30,1,3.96,clear sky
472,Arandis,NA,-22.4167,14.9667,64.38,47,0,10.56,clear sky
473,Waterloo,CA,43.4668,-80.5164,37.65,87,75,16.11,light rain
474,Lavrentiya,RU,65.5833,-171.0,14.14,75,3,5.55,clear sky
475,Tiarei,PF,-17.5333,-149.3333,78.82,83,100,1.68,overcast clouds
476,Catabola,AO,-12.15,17.2833,70.52,40,94,4.56,overcast clouds
477,Takoradi,GH,4.8845,-1.7554,79.68,78,100,5.75,light rain
478,Trelew,AR,-43.249,-65.3051,74.28,32,100,13.06,overcast clouds
479,Beringovskiy,RU,63.05,179.3167,11.55,93,100,4.05,overcast clouds
480,Salinopolis,BR,-0.6136,-47.3561,84.34,68,53,10.85,broken clouds
481,Florianopolis,BR,-27.6146,-48.5012,78.55,69,40,13.8,scattered clouds
482,Griffith,US,41.5284,-87.4237,37.04,49,40,14.97,scattered clouds
483,Acurenam,GQ,1.0322,10.6488,70.09,93,49,1.68,light rain
484,Monterey,US,36.2505,-121.2516,51.17,51,2,6.87,clear sky
485,Laguna,US,38.421,-121.4238,58.01,57,0,13.8,clear sky
486,Dahanu,IN,19.9667,72.7333,75.99,70,2,5.75,clear sky
487,Alexandria,EG,31.2156,29.9553,71.71,65,5,14.54,clear sky
488,Smithers,CA,54.7804,-127.1743,23.32,80,75,3.44,broken clouds
489,Maues,BR,-3.3836,-57.7186,104.0,25,90,3.85,overcast clouds
490,Wanxian,CN,30.8039,108.3897,53.15,93,100,3.67,overcast clouds
491,Moron,AR,-34.6534,-58.6198,82.02,75,100,8.7,moderate rain
492,Clovis,US,36.8252,-119.7029,60.67,93,100,3.44,mist
493,Nioki,CD,-2.7167,17.6833,72.68,94,97,2.08,light rain
494,Ginda,IN,30.6945,78.4932,51.49,38,100,4.16,overcast clouds
495,Banyo,CM,6.75,11.8167,72.84,48,11,4.81,few clouds
496,Airai,TL,-8.9266,125.4092,62.1,92,100,1.3,overcast clouds
497,Mashhad,IR,36.297,59.6062,46.54,66,0,4.61,clear sky
498,Gornopravdinsk,RU,60.05,69.9,17.06,95,72,8.16,broken clouds
499,Killarney,IE,52.05,-9.5167,50.52,89,100,2.93,overcast clouds
500,Ratnagiri,IN,16.9833,73.3,77.58,59,8,7.05,clear sky
501,Port-Cartier,CA,50.0334,-66.8654,26.82,94,100,14.88,light snow
502,Pahrump,US,36.2083,-115.9839,51.49,37,33,13.0,scattered clouds
503,Duobao,CN,30.67,112.6895,47.32,69,77,9.22,broken clouds
504,Mount Pleasant,US,32.7941,-79.8626,64.31,58,0,11.5,clear sky
505,Qaqortoq,GL,60.7167,-46.0333,32.0,82,98,7.0,overcast clouds
506,La Ronge,CA,55.1001,-105.2842,16.05,86,100,8.05,light snow
507,Anadyr,RU,64.75,177.4833,-8.9,83,100,4.47,fog
508,Nha Trang,VN,12.25,109.1833,78.8,93,40,5.75,scattered clouds
509,Bonthe,SL,7.5264,-12.505,79.97,79,91,5.68,overcast clouds
510,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,70.59,86,100,2.04,overcast clouds
511,Ponta Pora,BR,-22.5361,-55.7256,69.71,94,20,0.0,few clouds
512,Helena,US,46.5927,-112.0361,29.25,79,100,3.0,haze
513,Tonj,SS,7.2737,28.6822,80.19,29,100,3.74,overcast clouds
514,Oriximina,BR,-1.7656,-55.8661,96.04,38,65,7.9,broken clouds
515,Lenine,UA,45.2986,35.7771,50.47,79,7,11.86,clear sky
516,Havre,FR,49.5833,0.3333,52.2,93,55,6.91,broken clouds
517,Nome,US,64.5011,-165.4064,23.07,58,0,13.8,clear sky
518,Dharmanagar,IN,24.3667,92.1667,63.34,94,0,1.05,clear sky
519,Ahuimanu,US,21.4447,-157.8378,76.86,85,75,5.99,broken clouds
520,Fredericksburg,US,38.3032,-77.4605,52.92,48,100,14.97,overcast clouds
521,Marawi,PH,7.9986,124.2928,68.34,94,77,1.39,broken clouds
522,Rio Grande,BR,-32.035,-52.0986,73.51,93,100,13.15,moderate rain
523,Gat,IL,31.61,34.7642,74.39,55,0,5.95,clear sky
524,Bandarbeyla,SO,9.4942,50.8122,79.47,73,2,16.33,clear sky
525,Honiara,SB,-9.4333,159.95,77.88,87,99,2.13,overcast clouds
526,Virtsu,EE,58.5716,23.5115,38.05,87,31,5.97,scattered clouds
527,Sulangan,PH,11.1373,123.7228,82.92,77,96,13.18,overcast clouds
528,Rio Gallegos,AR,-51.6226,-69.2181,64.02,35,15,5.1,few clouds
529,Mount Isa,AU,-20.7333,139.5,73.17,94,35,2.3,light rain
530,Qasigiannguit,GL,68.8193,-51.1922,26.85,86,100,3.18,overcast clouds
531,Puerto Leguizamo,CO,-0.1934,-74.7819,91.65,50,42,4.76,scattered clouds
532,Majene,ID,-3.5403,118.9707,78.82,87,100,3.8,moderate rain
533,Hovd,MN,48.0056,91.6419,27.99,45,100,5.64,overcast clouds
534,Klaksvik,FO,62.2266,-6.589,49.12,94,95,13.85,overcast clouds
535,Suksun,RU,57.1431,57.3949,29.64,87,100,17.83,light snow
536,Auki,SB,-8.7676,160.7034,75.67,87,98,3.6,overcast clouds
537,Nuevitas,CU,21.5453,-77.2644,84.63,62,1,6.89,clear sky
538,Muisne,EC,0.6,-80.0333,75.72,77,99,9.28,overcast clouds
539,Alamosa,US,37.4695,-105.87,37.38,32,0,0.0,clear sky
540,Flagstaff,US,35.1981,-111.6513,45.59,39,0,20.71,clear sky
541,De Aar,ZA,-30.6497,24.0123,67.28,31,1,12.82,clear sky
542,Lata,PT,40.1629,-8.3327,62.92,78,98,4.21,light rain
543,Strelka,RU,58.0728,93.0344,33.67,98,100,9.19,light snow
544,Saint-Joseph,RE,-21.3667,55.6167,70.18,84,60,13.62,light rain
545,Prado,BR,-17.3411,-39.2208,81.34,69,69,12.24,broken clouds
546,Cherepanovo,RU,54.2222,83.381,31.93,97,100,19.04,light snow
547,Segezha,RU,63.7415,34.3222,30.04,86,25,8.25,scattered clouds
548,Filingue,NE,14.3521,3.3168,88.14,15,3,7.76,clear sky
549,Evans,US,33.5337,-82.1307,56.5,50,0,5.75,clear sky
